DJIA,17535.32,-185.18,-1.05%
DJ Transportation Average,7507.31,-92.89,-1.22%
DJ Utility Average,665.34,-3.12,-0.47%
DJ Total Stock Market,21044.67,-172.04,-0.81%
Barron's 400,506.86,-3.76,-0.74%
Nasdaq Composite,4717.68,-19.66,-0.41%
Nasdaq 100,4326.53,-16.28,-0.37%
S&P 500,2046.61,-17.50,-0.85%
S&P MidCap 400,1440.60,-13.18,-0.91%
S&P SmallCap 600,677.30,-4.89,-0.72%
Russell 2000,1102.44,-6.16,-0.56%
NYSE Composite,10228.06,-106.32,-1.03%
NYSE Arca Biotech,2918.28,29.45,1.02%
NYSE Arca Pharma,502.85,-0.06,-0.01%
KBW Bank,66.00,-1.07,-1.59%
PHLX Gold/Silver,86.98,0.49,0.57%
PHLX Oil Service,158.20,-4.00,-2.47%
PHLX Semiconductor,633.26,2.49,0.39%
CBOE Volatility,15.04,0.63,4.37%
"",6403.31,"
	slider
",8769.71
"",539.96,"
	slider
",672.40
"",18473.24,"
	slider
",22330.68
"",441.63,"
	slider
",586.92
"",4209.76,"
	slider
",5231.94
"",3787.23,"
	slider
",4739.75
"",1810.10,"
	slider
",2134.72
"",1215.14,"
	slider
",1551.28
"",581.63,"
	slider
",742.23
"",943.10,"
	slider
",1296.00
"",8937.99,"
	slider
",11254.87
"",2575.58,"
	slider
",4457.39
"",473.20,"
	slider
",607.54
"",55.99,"
	slider
",80.87
"",38.36,"
	slider
",93.66
"",122.09,"
	slider
",221.29
"",543.03,"
	slider
",751.21
"",10.88,"
	slider
",53.29
